Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
0.6161903,17.09989,17.68378,1711.563,-1297.986,1.497167,3.739126,0.212,14.41 ft,0.1392987,-0.5753985,0,1.362605,0,LW,16.65785,0,14.89617,-4.592054,0,0.994522,20.74608,0,0,0.2647397,-0.7647077,0
0.7766141,26.45793,29.82252,3875.389,1210.149,9.795869,2,0.212,18.49 ft,0.1604108,0.2725886,0,1.602157,0,LW,26.28814,6.145038,-5.438232,8.470071,-2.325033,5.436769,43.69411,49.42075,0,1.580278,-0.7218415,0
15.66792,32.00913,32.77722,2394.161,-1065.927,-3.4368,20.35936,20.19028,396.8 yds,4.594338,-1.200911,-26.43752,15.86203,0,LW,23.87822,7.248932,-5.161442,-11.31681,18.56575,-2.948739,27.1051,32.99887,0,-0.4196123,0.2277275,0
32.26546,37.99306,41.09812,3271.131,-62.70358,-2.347032,31.68106,34.36314,10.45 ft,16.6502,-1.372774,-1.098605,32.20341,0,LW,38.70053,4.028384,2.9762,-0.2622184,4.290603,-1.140738,42.80593,39.99537,0,0.07965974,-1.079227,0
45.75391,57.74955,52.20932,3135.542,-1728.658,-7.769611,25.35397,29.42002,24.79 yds,18.63125,-9.275872,-33.55115,45.77306,0,LW,41.41306,5.724639,2.915725,-14.75579,20.48043,1.759356,33.08641,30.64681,0,-0.3323263,0.1709471,0
27.57764,32.85327,37.54168,3113.545,2653.399,34.70711,37.69107,40.69776,37.29 yds,17.30527,17.06585,60.84714,27.49361,0,LW,43.52922,7.093949,2.580978,13.91429,-6.820338,-0.3066951,49.61069,47.41912,0,0.8620672,-0.2170481,0
31.22351,36.18332,39.42445,2902.418,211.8049,11.66985,40.7562,43.8173,22.51 yds,22.63915,6.487803,4.185913,31.16424,0,LW,48.08519,10.91766,-8.139758,9.722324,1.195333,3.687257,52.03695,60.82181,0,0.6643475,-0.114401,0.8198876
99.00164,103.1332,79.72174,7283.256,-949.8985,1.683112,25.25166,41.93383,46.57 yds,56.05402,-1.539225,-7.494729,97.99579,0,LW,66.21806,5.108215,-7.977265,0.003667199,5.104548,1.444854,31.99338,40.19156,0,-0.7466961,0.1144814,0
93.08076,97.35342,77.09631,7827.435,-590.8369,2.625696,22.69948,38.80009,40.81 yds,45.59309,1.942512,-4.332868,92.33395,0,LW,67.59079,3.674957,-7.912104,1.417309,2.257648,-0.7097189,27.71359,35.72864,0,-1.151432,0.2394121,0
110.8066,114.6088,86.77412,8071.575,-806.3654,0.7426098,24.93461,45.12376,58.07 yds,67.8291,-2.953521,-5.740098,109.4496,0,LW,72.36617,4.550708,-6.469337,-1.040291,5.590999,1.399776,31.98866,38.66148,0,-0.717039,0.03010174,0
98.01997,101.2121,80.64474,10348.4,1341.745,5.93272,24.27473,43.36864,46.12 yds,56.59621,14.84837,7.450271,96.97885,0,LW,74.77937,5.757879,-7.382403,9.56508,-3.807201,-0.1242877,33.36533,41.05315,0,-0.3761794,-0.3096258,0
